Size	   Bubble Sort	Selection Sort	Insertion Sort
50	43502.363	17140.766	34809.555
100	34308.766	11906.21	83062.89
150	63216.434	23795.28	20635.29
200	101160.47	37795.613	22517.5
250	155395.72	57196.453	34576.965
300	211397.45	76427.97	44985.426
350	282319.4	101458.38	60780.69
400	364413.72	129941.3	77258.02
450	455538.62	163395.98	95508.52
500	555561.2	196050.9	117492.06
550	665213.7	235097.14	139092.6
600	789157.6	275077.62	164639.5
650	923924.9	323428.25	193049.19
700	1062122.2	369368.72	220546.05
750	1214124.5	422363.75	253114.34
800	1392387.5	482039.38	290785.94
850	1619753.1	565397.44	343614.97
900	1734437.2	597985.3	359968.2
950	1926298.2	663695.44	397876.56
1000	2106317.8	727411.8	434643.53
