Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	   Comb Sort	   Cocktail Sort
50	37427.016	24023.92	33802.92	30448.55	130857.44	59545.1
100	48622.58	20351.805	63697.227	18107.76	179610.31	62372.105
150	96307.87	36132.61	19469.105	20627.555	363745.28	121675.48
200	165367.75	61520.566	31208.385	27365.064	679578.4	212333.08
250	242508.23	84990.46	44944.54	35058.09	1066241.5	316829.03
300	365940.47	122213.42	63672.5	44350.363	1658119.4	490813.25
350	507317.38	166533.2	86984.44	55256.336	2366610.0	667123.4
400	665385.94	214135.12	112736.62	63287.355	3157315.0	849759.75
450	796013.06	252314.36	134049.1	73088.27	4020791.8	1044968.5
500	985861.2	313149.6	172417.4	82356.49	5050295.5	1333852.5
550	1249318.5	386958.3	209180.28	96028.29	6539101.5	1651821.8
600	1441683.5	438755.28	226308.62	98457.6	7564631.5	1924335.5
650	1694452.4	505380.8	265108.8	105911.34	8836531.0	2231935.2
700	1934920.4	581848.5	317655.1	115841.18	1.0691601E7	2613287.2
750	2199959.2	662785.5	351575.84	125061.96	1.2660328E7	2952483.0
800	2483177.8	734737.06	387440.1	134881.38	1.4142569E7	3343570.0
850	2816755.8	829655.1	436895.44	144601.28	1.624545E7	3809811.5
900	3196546.2	943360.6	505658.12	155228.64	1.8320732E7	4324094.5
950	3853456.0	1165089.1	624349.5	177440.86	2.2838966E7	5091238.5
1000	6778749.0	2003241.6	1026842.9	284619.4	4.2052816E7	7950734.5
